X0,Y0,X1,Y1,X2,Y2
0,116.7405,2143,144.1709,78,102.2089
1,120.5063,2102,142.0253,344,102.7595
2,125.8861,1515,142.0253,302,102.7595
3,129.6519,911,142.0253,166,102.7595
4,132.3418,771,142.0253,4366,103.2911
5,133.9557,502,142.0253,485,103.2911
6,135.0380,2613,141.4937,1250,103.8228
7,135.5696,2862,140.4114,1202,103.8228
8,135.5696,2326,140.4114,897,103.8228
9,135.5696,2064,140.4114,852,103.8228
10,135.5696,2013,140.4114,755,103.8228
11,135.5696,1844,140.4114,4328,104.3734
12,135.5696,1680,140.4114,4290,104.3734
13,135.0380,1435,140.4114,1334,104.3734
14,134.4873,1001,140.4114,1029,104.3734
15,133.9557,871,140.4114,125,104.3734
16,133.9557,586,140.4114,4483,104.9051
17,133.4241,547,140.4114,4107,104.9051
18,132.8734,404,140.4114,2131,104.9051
19,132.3418,361,140.4114,1502,104.9051
20,131.8101,3530,139.8797,1416,104.9051
21,131.2595,1476,139.8797,1293,104.9051
22,130.7278,1048,139.8797,1116,104.9051
23,130.1962,137,139.8797,573,104.9051
24,129.6456,2365,139.3291,38,104.9051
25,128.5823,1762,139.3291,4443,105.4367
26,128.0316,1564,139.3291,4408,105.4367
27,126.9684,4378,138.7975,4074,105.4367
28,125.8861,4119,138.7975,4038,105.4367
29,124.2721,4085,138.7975,2001,105.4367
30,122.1203,3910,138.7975,1159,105.4367
31,119.9684,3265,138.7975,1075,105.4367
32,117.8165,2581,138.7975,985,105.4367
33,115.6646,2285,138.7975,806,105.4367
34,112.9747,2244,138.7975,711,105.4367
35,109.7468,1929,138.7975,438,105.4367
36,107.0570,1089,138.7975,392,105.4367
37,105.4367,962,138.7975,256,105.4367
38,104.9051,819,138.7975,215,105.4367
39,106.5190,728,138.7975,4252,105.9873
40,109.7468,687,138.7975,4217,105.9873
41,115.1266,635,138.7975,947,105.9873
42,121.0443,453,138.7975,667,105.9873
43,126.4240,178,138.7975,532,105.9873
44,130.1899,90,138.7975,4179,106.5190
45,131.8101,3880,138.2658,4145,106.5190
46,132.8734,1643,138.2658,3519,107.0506
47,133.9557,1262,138.2658,1915,107.0506
48,135.0380,1215,138.2658,1832,107.0506
49,136.1013,2928,137.7152,1669,107.0506
50,136.1013,2471,137.7152,1463,107.0506
51,136.1013,1603,137.7152,1378,107.0506
52,135.5696,314,137.7152,622,107.0506
53,135.5696,4341,137.1835,4004,107.6013
54,135.5696,4305,137.1835,2089,107.6013
55,135.5696,3499,137.1835,1963,107.6013
56,135.5696,3233,137.1835,1751,107.6013
57,135.0380,2997,137.1835,1552,107.6013
58,134.4873,2829,137.1835,1712,108.1329
59,133.9557,2756,137.1835,1632,108.1329
60,133.9557,2547,137.1835,3899,108.6646
61,133.4241,2435,137.1835,3864,108.6646
62,132.8734,2202,137.1835,3830,108.6646
63,132.3418,1976,137.1835,3697,108.6646
64,131.8101,1395,137.1835,3626,108.6646
65,131.2595,1354,137.1835,2189,108.6646
66,130.1962,1172,137.1835,2050,108.6646
67,129.6456,273,137.1835,1877,108.6646
68,128.0380,226,137.1835,1592,108.6646
69,126.4240,4453,136.6519,3969,109.2152
70,123.7342,4188,136.6519,3796,109.2152
71,121.0443,4154,136.6519,3665,109.2152
72,117.8165,3465,136.6519,3592,109.2152
73,114.0506,3201,136.6519,3485,109.2152
74,110.2848,1805,136.6519,1794,109.2152
75,107.0570,1128,136.6519,3249,109.7468
76,104.3671,4261,136.1013,2983,109.7468
77,102.7532,3847,136.1013,2310,109.7468
78,102.2089,1889,136.1013,2229,109.7468
79,103.8291,1724,136.1013,3938,110.2785
80,107.0570,50,136.1013,3762,110.2785
81,111.8987,4495,135.5696,3731,110.2785
82,117.8165,4417,135.5696,3450,110.2785
83,123.7342,4226,135.5696,2847,110.2785
84,128.0380,4054,135.5696,2600,110.2785
85,130.7278,3812,135.5696,3559,110.8291
86,132.3418,3711,135.5696,3418,111.3608
87,134.4937,3640,135.5696,2915,111.3608
88,136.6456,3166,135.5696,2741,111.3608
89,138.2658,3135,135.5696,2272,111.3608
90,138.7975,3102,135.5696,3318,111.8924
91,138.7975,2897,135.5696,3149,111.8924
92,138.2658,2795,135.5696,3084,111.8924
93,138.2658,2721,135.5696,2813,111.8924
94,138.2658,2686,135.5696,2672,111.8924
95,138.2658,2511,135.5696,2459,111.8924
96,137.7152,2401,135.5696,2387,111.8924
97,137.1835,1311,135.5696,3385,112.4430
98,137.7152,9,135.5696,2529,112.4430
99,137.7152,3777,135.0380,3354,112.9747
100,138.2658,3333,134.4873,3288,112.9747
101,138.2658,4017,133.9557,2781,112.9747
102,138.2658,3982,133.9557,2566,112.9747
103,137.7152,3679,133.9557,2422,112.9747
104,137.1835,3605,133.9557,2352,112.9747
105,137.1835,3433,133.9557,3216,113.5063
106,136.6519,3399,133.9557,2950,113.5063
107,136.1013,3068,133.9557,2884,113.5063
108,135.0380,2965,133.9557,2707,113.5063
109,133.9557,2655,133.9557,3184,114.0570
110,132.8734,3950,133.4241,3053,114.0570
111,131.2658,3745,133.4241,3023,114.0570
112,130.1899,3572,133.4241,3119,114.5886
113,128.5823,3038,132.8734,2640,115.1203
114,128.0316,3367,132.3418,2497,115.1203
115,126.9684,3301,132.3418,,
116,125.3481,,,,
117,123.7342,,,,
118,121.5823,,,,
119,119.4304,,,,
120,116.7405,,,,
121,114.0506,,,,
122,111.3608,,,,
123,108.1329,,,,
124,105.9810,,,,
125,104.3734,,,,
126,104.3734,,,,
127,105.4430,,,,
128,108.6709,,,,
129,113.5127,,,,
130,119.4304,,,,
131,125.3481,,,,
132,130.1899,,,,
133,133.4177,,,,
134,135.5696,,,,
135,137.1835,,,,
136,138.7975,,,,
137,139.8797,,,,
138,139.8797,,,,
139,139.3291,,,,
140,138.7975,,,,
141,138.2658,,,,
142,137.7152,,,,
143,136.6519,,,,
144,135.5696,,,,
145,134.4873,,,,
146,133.9557,,,,
147,133.4241,,,,
148,132.8734,,,,
149,132.3418,,,,
150,131.8101,,,,
151,131.2595,,,,
152,130.1962,,,,
153,129.6456,,,,
154,128.5823,,,,
155,126.9620,,,,
156,124.8101,,,,
157,122.6582,,,,
158,120.5063,,,,
159,117.8165,,,,
160,115.1266,,,,
161,112.4367,,,,
162,109.7468,,,,
163,107.0570,,,,
164,104.9051,,,,
165,103.2911,,,,
166,102.7595,,,,
167,103.8291,,,,
168,107.0570,,,,
169,111.8987,,,,
170,117.8165,,,,
171,124.2721,,,,
172,129.1139,,,,
173,132.3418,,,,
174,133.9557,,,,
175,135.5696,,,,
176,137.1835,,,,
177,138.2658,,,,
178,138.7975,,,,
179,138.7975,,,,
180,138.2658,,,,
181,137.7152,,,,
182,137.1835,,,,
183,137.1835,,,,
184,137.1835,,,,
185,137.1835,,,,
186,136.6519,,,,
187,136.1013,,,,
188,135.5696,,,,
189,135.5696,,,,
190,135.5696,,,,
191,135.5696,,,,
192,135.0380,,,,
193,134.4873,,,,
194,133.9557,,,,
195,133.4241,,,,
196,132.8734,,,,
197,132.3418,,,,
198,132.3418,,,,
199,131.8101,,,,
200,131.2595,,,,
201,130.1962,,,,
202,129.6456,,,,
203,128.5823,,,,
204,128.0316,,,,
205,126.9684,,,,
206,125.3481,,,,
207,123.1962,,,,
208,121.0443,,,,
209,118.8924,,,,
210,116.7405,,,,
211,114.0506,,,,
212,111.3608,,,,
213,108.6709,,,,
214,106.5190,,,,
215,105.4367,,,,
216,105.9810,,,,
217,108.1329,,,,
218,112.4367,,,,
219,117.8165,,,,
220,124.2721,,,,
221,129.6519,,,,
222,133.4177,,,,
223,135.5696,,,,
224,136.6519,,,,
225,137.1835,,,,
226,137.1835,,,,
227,137.1835,,,,
228,136.6519,,,,
229,136.1013,,,,
230,135.5696,,,,
231,135.5696,,,,
232,135.5696,,,,
233,135.0380,,,,
234,134.4873,,,,
235,133.9557,,,,
236,133.4241,,,,
237,132.8734,,,,
238,132.3418,,,,
239,131.8101,,,,
240,131.2595,,,,
241,130.7278,,,,
242,130.1962,,,,
243,129.6456,,,,
244,128.5823,,,,
245,127.5000,,,,
246,125.8861,,,,
247,124.2721,,,,
248,122.6582,,,,
249,121.0443,,,,
250,118.8924,,,,
251,116.7405,,,,
252,114.0506,,,,
253,111.3608,,,,
254,108.6709,,,,
255,106.5190,,,,
256,105.4367,,,,
257,105.4367,,,,
258,107.5949,,,,
259,111.3608,,,,
260,116.7405,,,,
261,122.6582,,,,
262,127.5000,,,,
263,130.7278,,,,
264,131.8101,,,,
265,132.8734,,,,
266,133.9557,,,,
267,135.0380,,,,
268,136.1013,,,,
269,136.6519,,,,
270,137.1835,,,,
271,137.1835,,,,
272,137.1835,,,,
273,137.1835,,,,
274,137.1835,,,,
275,137.1835,,,,
276,137.1835,,,,
277,136.6519,,,,
278,136.1013,,,,
279,135.5696,,,,
280,135.5696,,,,
281,135.5696,,,,
282,135.5696,,,,
283,135.5696,,,,
284,135.0380,,,,
285,134.4873,,,,
286,133.9557,,,,
287,133.9557,,,,
288,133.4241,,,,
289,132.8734,,,,
290,131.8101,,,,
291,131.2595,,,,
292,130.1962,,,,
293,129.1139,,,,
294,126.9620,,,,
295,124.2721,,,,
296,121.0443,,,,
297,117.2785,,,,
298,113.5127,,,,
299,109.7468,,,,
300,106.5190,,,,
301,103.8291,,,,
302,102.7595,,,,
303,103.8291,,,,
304,107.0570,,,,
305,111.3608,,,,
306,116.7405,,,,
307,122.6582,,,,
308,128.0380,,,,
309,131.8038,,,,
310,133.9557,,,,
311,135.5696,,,,
312,136.6519,,,,
313,137.7152,,,,
314,137.7152,,,,
315,137.7152,,,,
316,137.1835,,,,
317,137.1835,,,,
318,137.1835,,,,
319,137.1835,,,,
320,137.1835,,,,
321,137.1835,,,,
322,137.1835,,,,
323,137.1835,,,,
324,137.1835,,,,
325,136.6519,,,,
326,136.1013,,,,
327,135.5696,,,,
328,135.0380,,,,
329,134.4873,,,,
330,133.4241,,,,
331,132.3418,,,,
332,130.7278,,,,
333,128.5759,,,,
334,126.9620,,,,
335,124.8101,,,,
336,122.6582,,,,
337,119.4304,,,,
338,116.2025,,,,
339,112.9747,,,,
340,109.7468,,,,
341,107.0570,,,,
342,104.9051,,,,
343,103.2911,,,,
344,102.7595,,,,
345,103.8291,,,,
346,107.5949,,,,
347,112.9747,,,,
348,119.4304,,,,
349,125.3481,,,,
350,129.6519,,,,
351,132.3418,,,,
352,133.9557,,,,
353,135.0380,,,,
354,136.1013,,,,
355,137.1835,,,,
356,138.7975,,,,
357,139.8797,,,,
358,140.4114,,,,
359,140.4114,,,,
360,140.4114,,,,
361,140.4114,,,,
362,140.4114,,,,
363,140.4114,,,,
364,140.4114,,,,
365,140.4114,,,,
366,139.8797,,,,
367,139.3291,,,,
368,138.7975,,,,
369,138.2658,,,,
370,137.1835,,,,
371,136.1013,,,,
372,135.0380,,,,
373,133.9557,,,,
374,132.8734,,,,
375,132.3418,,,,
376,131.8101,,,,
377,131.2595,,,,
378,130.1962,,,,
379,129.6456,,,,
380,128.5823,,,,
381,127.5000,,,,
382,126.4177,,,,
383,125.3544,,,,
384,124.2721,,,,
385,122.1203,,,,
386,119.4304,,,,
387,116.7405,,,,
388,114.0506,,,,
389,111.3608,,,,
390,108.6709,,,,
391,106.5190,,,,
392,105.4367,,,,
393,105.4367,,,,
394,107.0570,,,,
395,110.2848,,,,
396,115.1266,,,,
397,121.0443,,,,
398,126.4240,,,,
399,130.7278,,,,
400,133.4177,,,,
401,136.1076,,,,
402,138.2595,,,,
403,139.8797,,,,
404,140.4114,,,,
405,139.8797,,,,
406,139.3291,,,,
407,138.2658,,,,
408,137.7152,,,,
409,137.1835,,,,
410,137.1835,,,,
411,137.1835,,,,
412,136.6519,,,,
413,136.1013,,,,
414,135.5696,,,,
415,135.5696,,,,
416,135.0380,,,,
417,134.4873,,,,
418,133.9557,,,,
419,133.4241,,,,
420,132.8734,,,,
421,132.3418,,,,
422,131.8101,,,,
423,131.2595,,,,
424,130.7278,,,,
425,130.1962,,,,
426,129.1139,,,,
427,128.0316,,,,
428,126.4240,,,,
429,124.8101,,,,
430,122.6582,,,,
431,121.0443,,,,
432,118.8924,,,,
433,116.7405,,,,
434,114.0506,,,,
435,111.3608,,,,
436,108.6709,,,,
437,106.5190,,,,
438,105.4367,,,,
439,105.4367,,,,
440,107.5949,,,,
441,111.8987,,,,
442,117.8165,,,,
443,123.7342,,,,
444,128.0380,,,,
445,130.7278,,,,
446,132.3418,,,,
447,133.9557,,,,
448,135.0380,,,,
449,136.1013,,,,
450,136.6519,,,,
451,137.7152,,,,
452,138.2658,,,,
453,138.7975,,,,
454,138.2658,,,,
455,137.7152,,,,
456,137.1835,,,,
457,137.1835,,,,
458,137.1835,,,,
459,137.1835,,,,
460,137.1835,,,,
461,137.1835,,,,
462,137.7152,,,,
463,137.7152,,,,
464,137.7152,,,,
465,137.1835,,,,
466,137.1835,,,,
467,137.1835,,,,
468,136.6519,,,,
469,135.5696,,,,
470,134.4873,,,,
471,133.4241,,,,
472,132.3418,,,,
473,130.7278,,,,
474,129.1139,,,,
475,127.5000,,,,
476,125.8861,,,,
477,124.2721,,,,
478,122.1203,,,,
479,119.4304,,,,
480,116.2025,,,,
481,112.9747,,,,
482,109.7468,,,,
483,106.5190,,,,
484,104.3671,,,,
485,103.2911,,,,
486,103.8228,,,,
487,105.9810,,,,
488,110.2848,,,,
489,115.6646,,,,
490,121.5823,,,,
491,126.4240,,,,
492,130.1899,,,,
493,132.8797,,,,
494,135.0316,,,,
495,137.1835,,,,
496,138.7975,,,,
497,139.8797,,,,
498,140.4114,,,,
