X0,Y0,X1,Y1,X2,Y2
0,141.494,2932,143.63924,3676,104.90506
1,140.943,2421,143.63924,2025,104.90506
2,139.880,663,143.63924,1832,104.90506
3,139.329,558,143.63924,1686,104.90506
4,138.797,2231,142.55696,4233,105.43671
5,138.266,4246,142.02531,3537,105.43671
6,137.715,4054,142.02531,1586,105.43671
7,137.184,3828,142.02531,4328,105.98734
8,137.184,3690,142.02531,4041,105.98734
9,137.184,2651,142.02531,2122,105.98734
10,137.184,2566,142.02531,4132,106.51899
11,136.652,2041,142.02531,3808,106.51899
12,136.101,1701,142.02531,2921,106.51899
13,135.570,1042,142.02531,1643,106.51899
14,135.570,850,142.02531,1541,106.51899
15,135.038,328,142.02531,1495,106.51899
16,134.487,3257,141.49367,545,106.51899
17,133.956,2606,141.49367,3945,107.05064
18,133.424,1280,141.49367,3634,107.05064
19,132.873,3957,140.94304,3593,107.05064
20,131.810,139,140.94304,3454,107.05064
21,130.728,43,140.94304,3020,107.05064
22,129.114,4389,140.41139,2216,107.05064
23,127.500,4343,140.41139,1976,107.05064
24,125.886,4203,140.41139,1784,107.05064
25,124.272,4146,140.41139,647,107.05064
26,122.658,3911,140.41139,315,107.05064
27,120.506,3872,140.41139,266,107.05064
28,118.354,3550,140.41139,4421,107.60126
29,115.665,3466,140.41139,3108,107.60126
30,112.975,3427,140.41139,2978,107.60126
31,110.285,3341,140.41139,2781,107.60126
32,108.665,3216,140.41139,1261,107.60126
33,108.133,3172,140.41139,834,107.60126
34,109.209,3122,140.41139,172,107.60126
35,111.361,3077,140.41139,4288,108.13291
36,115.665,3036,140.41139,4191,108.13291
37,120.506,2891,140.41139,3764,108.13291
38,126.962,2799,140.41139,3201,108.13291
39,132.342,2749,140.41139,3161,108.13291
40,136.646,2708,140.41139,2878,108.13291
41,138.797,2521,140.41139,2399,108.13291
42,140.411,2469,140.41139,2176,108.13291
43,140.943,2142,140.41139,1741,108.13291
44,140.943,1989,140.41139,1452,108.13291
45,140.411,1852,140.41139,929,108.13291
46,140.411,1597,140.41139,499,108.13291
47,140.411,1554,140.41139,453,108.13291
48,140.411,1408,140.41139,361,108.13291
49,140.411,1179,140.41139,33,108.13291
50,140.411,1134,140.41139,4469,108.66456
51,140.411,1087,140.41139,4378,108.66456
52,139.880,946,140.41139,4001,108.66456
53,139.329,757,140.41139,3901,108.66456
54,139.329,713,140.41139,3860,108.66456
55,139.329,515,140.41139,3497,108.66456
56,139.329,373,140.41139,3330,108.66456
57,138.797,280,140.41139,3065,108.66456
58,138.797,185,140.41139,2637,108.66456
59,138.797,2988,139.87975,1931,108.66456
60,138.797,2850,139.87975,1396,108.66456
61,138.797,2366,139.87975,1165,108.66456
62,138.797,802,139.87975,603,108.66456
63,138.797,614,139.87975,412,108.66456
64,138.797,100,139.87975,224,108.66456
65,138.797,4100,139.32912,127,108.66456
66,138.797,4012,139.32912,4090,109.21519
67,138.266,3775,139.32912,3417,109.21519
68,137.715,3603,139.32912,3375,109.21519
69,137.184,4480,138.79747,2839,109.21519
70,136.652,4435,138.79747,2502,109.21519
71,136.101,4298,138.79747,1889,109.21519
72,135.038,3648,138.79747,1028,109.21519
73,133.956,3507,138.79747,791,109.21519
74,132.342,3390,138.79747,1354,109.74683
75,130.190,3300,138.79747,1074,109.74683
76,128.576,2328,138.79747,885,109.74683
77,126.968,2285,138.79747,744,109.74683
78,125.886,2190,138.79747,702,109.74683
79,124.272,2093,138.79747,87,109.74683
80,122.658,1946,138.79747,3247,110.27848
81,120.506,1901,138.79747,2737,110.27848
82,118.354,1799,138.79747,2595,110.27848
83,116.203,1753,138.79747,2554,110.27848
84,114.051,1654,138.79747,2080,110.27848
85,111.899,1512,138.79747,1218,110.27848
86,110.278,1467,138.79747,986,110.27848
87,109.747,1366,138.79747,3727,110.82912
88,110.278,1326,138.79747,2696,110.82912
89,111.899,1234,138.79747,2356,110.82912
90,115.665,1000,138.79747,1120,110.82912
91,121.044,898,138.79747,3290,111.36076
92,126.962,471,138.79747,2458,111.36076
93,131.266,424,138.79747,2273,111.36076
94,133.956,236,138.79747,1315,111.36076
95,135.570,3737,138.26582,2317,111.89240
96,137.184,,,,
97,138.266,,,,
98,138.797,,,,
99,139.329,,,,
100,139.880,,,,
101,139.880,,,,
102,139.329,,,,
103,138.797,,,,
104,138.797,,,,
105,138.797,,,,
106,138.266,,,,
107,137.715,,,,
108,136.652,,,,
109,136.101,,,,
110,135.038,,,,
111,133.956,,,,
112,132.873,,,,
113,131.810,,,,
114,130.728,,,,
115,129.114,,,,
116,128.032,,,,
117,126.968,,,,
118,125.886,,,,
119,124.272,,,,
120,122.658,,,,
121,120.506,,,,
122,118.354,,,,
123,116.203,,,,
124,114.051,,,,
125,111.899,,,,
126,109.747,,,,
127,108.665,,,,
128,108.665,,,,
129,110.285,,,,
130,113.513,,,,
131,118.354,,,,
132,124.810,,,,
133,130.728,,,,
134,135.032,,,,
135,137.184,,,,
136,138.797,,,,
137,139.880,,,,
138,140.943,,,,
139,140.943,,,,
140,140.943,,,,
141,140.411,,,,
142,139.880,,,,
143,139.329,,,,
144,138.266,,,,
145,137.715,,,,
146,137.184,,,,
147,137.184,,,,
148,137.184,,,,
149,136.652,,,,
150,136.101,,,,
151,135.570,,,,
152,135.570,,,,
153,135.038,,,,
154,134.487,,,,
155,133.956,,,,
156,133.424,,,,
157,132.873,,,,
158,132.342,,,,
159,131.810,,,,
160,130.728,,,,
161,129.114,,,,
162,127.500,,,,
163,125.886,,,,
164,124.272,,,,
165,122.658,,,,
166,121.044,,,,
167,118.892,,,,
168,116.741,,,,
169,113.513,,,,
170,110.823,,,,
171,108.665,,,,
172,107.601,,,,
173,107.601,,,,
174,108.671,,,,
175,111.361,,,,
176,115.665,,,,
177,121.044,,,,
178,127.500,,,,
179,132.342,,,,
180,135.570,,,,
181,137.184,,,,
182,138.797,,,,
183,139.880,,,,
184,140.411,,,,
185,140.411,,,,
186,140.411,,,,
187,139.880,,,,
188,139.329,,,,
189,138.797,,,,
190,138.797,,,,
191,138.797,,,,
192,138.797,,,,
193,138.797,,,,
194,138.797,,,,
195,138.797,,,,
196,138.797,,,,
197,138.797,,,,
198,138.266,,,,
199,137.715,,,,
200,137.184,,,,
201,137.184,,,,
202,137.184,,,,
203,137.184,,,,
204,137.184,,,,
205,136.652,,,,
206,136.101,,,,
207,135.570,,,,
208,135.570,,,,
209,135.570,,,,
210,135.570,,,,
211,135.038,,,,
212,134.487,,,,
213,133.424,,,,
214,132.342,,,,
215,130.190,,,,
216,127.500,,,,
217,124.810,,,,
218,122.120,,,,
219,119.430,,,,
220,116.203,,,,
221,113.513,,,,
222,111.361,,,,
223,109.747,,,,
224,108.665,,,,
225,108.665,,,,
226,110.285,,,,
227,113.513,,,,
228,118.892,,,,
229,125.348,,,,
230,131.266,,,,
231,135.032,,,,
232,137.184,,,,
233,138.266,,,,
234,138.797,,,,
235,138.797,,,,
236,138.797,,,,
237,138.797,,,,
238,138.797,,,,
239,138.797,,,,
240,138.266,,,,
241,137.715,,,,
242,137.184,,,,
243,137.184,,,,
244,137.184,,,,
245,137.184,,,,
246,137.184,,,,
247,137.184,,,,
248,137.184,,,,
249,136.652,,,,
250,136.101,,,,
251,135.570,,,,
252,135.038,,,,
253,133.956,,,,
254,132.342,,,,
255,130.190,,,,
256,128.038,,,,
257,125.886,,,,
258,124.272,,,,
259,122.658,,,,
260,120.506,,,,
261,118.354,,,,
262,115.665,,,,
263,112.975,,,,
264,110.285,,,,
265,108.133,,,,
266,107.051,,,,
267,107.595,,,,
268,109.747,,,,
269,113.513,,,,
270,118.354,,,,
271,124.272,,,,
272,129.652,,,,
273,133.418,,,,
274,135.038,,,,
275,136.101,,,,
276,137.184,,,,
277,138.797,,,,
278,139.880,,,,
279,140.411,,,,
280,140.411,,,,
281,140.411,,,,
282,139.880,,,,
283,139.880,,,,
284,139.880,,,,
285,140.411,,,,
286,139.880,,,,
287,139.880,,,,
288,139.880,,,,
289,140.411,,,,
290,139.880,,,,
291,139.329,,,,
292,138.797,,,,
293,138.797,,,,
294,138.266,,,,
295,137.184,,,,
296,136.101,,,,
297,135.038,,,,
298,133.956,,,,
299,132.873,,,,
300,131.810,,,,
301,130.728,,,,
302,129.114,,,,
303,128.032,,,,
304,126.968,,,,
305,125.886,,,,
306,124.272,,,,
307,122.658,,,,
308,121.044,,,,
309,118.892,,,,
310,116.741,,,,
311,114.051,,,,
312,111.899,,,,
313,109.209,,,,
314,107.595,,,,
315,107.051,,,,
316,108.133,,,,
317,110.823,,,,
318,114.589,,,,
319,120.506,,,,
320,126.962,,,,
321,132.342,,,,
322,135.038,,,,
323,136.646,,,,
324,138.259,,,,
325,139.880,,,,
326,140.943,,,,
327,141.494,,,,
328,142.025,,,,
329,141.494,,,,
330,140.943,,,,
331,139.880,,,,
332,139.329,,,,
333,138.266,,,,
334,137.715,,,,
335,137.184,,,,
336,137.184,,,,
337,136.652,,,,
338,136.101,,,,
339,135.570,,,,
340,135.570,,,,
341,135.038,,,,
342,134.487,,,,
343,133.956,,,,
344,133.424,,,,
345,132.873,,,,
346,131.810,,,,
347,131.259,,,,
348,130.196,,,,
349,129.114,,,,
350,128.032,,,,
351,126.424,,,,
352,124.810,,,,
353,122.658,,,,
354,121.044,,,,
355,119.430,,,,
356,117.278,,,,
357,115.127,,,,
358,112.437,,,,
359,110.285,,,,
360,108.665,,,,
361,108.133,,,,
362,109.209,,,,
363,111.361,,,,
364,115.665,,,,
365,120.506,,,,
366,126.424,,,,
367,131.266,,,,
368,135.032,,,,
369,137.184,,,,
370,138.266,,,,
371,139.329,,,,
372,139.880,,,,
373,140.411,,,,
374,140.411,,,,
375,139.880,,,,
376,139.329,,,,
377,138.797,,,,
378,138.797,,,,
379,138.797,,,,
380,138.797,,,,
381,138.797,,,,
382,138.797,,,,
383,138.797,,,,
384,138.797,,,,
385,138.797,,,,
386,138.797,,,,
387,138.797,,,,
388,138.266,,,,
389,137.715,,,,
390,137.184,,,,
391,137.184,,,,
392,137.184,,,,
393,137.184,,,,
394,137.184,,,,
395,137.184,,,,
396,137.184,,,,
397,136.652,,,,
398,136.101,,,,
399,135.038,,,,
400,133.956,,,,
401,132.342,,,,
402,130.190,,,,
403,128.038,,,,
404,125.348,,,,
405,123.196,,,,
