X0,Y0,X1,Y1,X2,Y2
0,126.968,4298,149.5633,3026,102.2089
1,126.424,3299,149.0127,2703,102.2089
2,124.272,4197,148.4810,3719,103.2911
3,122.120,2408,148.4810,3382,103.2911
4,118.892,2109,148.4810,2600,103.2911
5,116.741,1219,148.4810,2344,103.2911
6,114.589,2618,147.9494,2253,103.2911
7,114.057,2264,147.9494,2090,103.2911
8,114.589,736,147.9494,3551,103.8228
9,117.278,3970,146.8671,2979,103.8228
10,122.120,2563,146.8671,2841,103.8228
11,127.500,2517,146.8671,2151,103.8228
12,131.804,2361,146.8671,3286,104.3734
13,134.494,2167,146.8671,2550,104.3734
14,136.646,1986,146.8671,2397,104.3734
15,138.797,1106,146.8671,1973,104.3734
16,140.411,1015,146.8671,1770,104.3734
17,141.494,928,146.8671,1628,104.3734
18,142.557,424,146.8671,4279,104.9051
19,142.557,280,146.8671,4184,104.9051
20,142.557,161,146.8671,3678,104.9051
21,142.025,120,146.8671,3593,104.9051
22,142.025,62,146.8671,3470,104.9051
23,142.025,4247,146.3354,3243,104.9051
24,142.025,2947,146.3354,3116,104.9051
25,142.025,1780,146.3354,2933,104.9051
26,141.494,1320,146.3354,2206,104.9051
27,140.943,692,146.3354,2037,104.9051
28,139.880,634,146.3354,4138,105.4367
29,139.329,3861,145.7848,4078,105.4367
30,138.797,2996,145.2532,3994,105.4367
31,138.797,1640,145.2532,3844,105.4367
32,138.266,1172,145.2532,3770,105.4367
33,137.715,323,145.2532,3515,105.4367
34,136.652,4044,144.1709,3432,105.4367
35,135.570,4007,144.1709,2798,105.4367
36,133.956,3482,144.1709,2759,105.4367
37,132.342,4356,143.6392,2660,105.4367
38,130.190,4093,143.6392,2502,105.4367
39,128.576,3735,143.6392,1578,105.4367
40,126.424,3691,143.6392,1400,105.4367
41,124.810,3529,143.6392,3200,105.9810
42,122.120,3399,143.6392,4333,105.9873
43,119.968,3178,143.6392,4035,105.9873
44,117.278,2724,143.6392,3882,105.9873
45,114.589,2218,143.6392,3076,105.9873
46,111.899,2057,143.6392,2458,105.9873
47,110.278,1937,143.6392,1202,105.9873
48,110.823,1888,143.6392,4235,106.5190
49,114.051,1415,143.6392,3955,106.5190
50,119.430,886,143.6392,3641,106.5190
51,125.886,836,143.6392,2893,106.5190
52,131.266,507,143.6392,1923,106.5190
53,135.032,375,143.6392,1831,106.5190
54,137.722,239,143.6392,621,106.5190
55,139.873,204,143.6392,4381,107.0506
56,141.494,1736,143.1076,3917,107.0506
57,142.557,1590,143.1076,3342,107.0506
58,143.639,4439,142.5570,2306,107.0506
59,144.722,4154,142.5570,1873,107.0506
60,145.785,1064,142.5570,1685,107.0506
61,146.335,593,142.5570,1493,107.0506
62,146.867,19,142.5570,1453,107.0506
63,146.867,4398,142.0253,1306,107.0506
64,146.335,3929,142.0253,1093,107.0506
65,145.785,3893,142.0253,910,107.0506
66,145.253,3652,142.0253,3808,107.6013
67,145.253,3608,142.0253,3163,107.6013
68,145.253,3353,142.0253,1723,107.6013
69,145.253,3256,142.0253,1538,107.6013
70,145.253,3216,142.0253,722,107.6013
71,145.253,3131,142.0253,1002,108.1329
72,144.722,3042,142.0253,819,108.1329
73,144.171,2856,142.0253,401,108.1329
74,143.639,1507,142.0253,4424,108.6646
75,143.639,1370,142.0253,1356,108.6646
76,143.639,1277,142.0253,1152,108.6646
77,143.639,975,142.0253,579,108.6646
78,143.639,791,142.0253,678,109.2152
79,143.108,553,142.0253,494,109.2152
80,142.557,467,142.0253,4472,109.7468
81,142.025,3786,141.4937,1263,109.7468
82,142.025,3562,141.4937,868,109.7468
83,142.025,2472,141.4937,538,109.7468
84,142.025,1843,141.4937,1050,110.2785
85,142.025,3819,140.9430,454,110.2785
86,141.494,2674,140.9430,308,110.2785
87,140.943,3089,140.4114,145,110.2785
88,139.880,2907,140.4114,47,110.2785
89,138.797,2813,140.4114,961,110.8291
90,136.646,2319,140.4114,775,110.8291
91,135.032,1551,140.4114,266,110.8291
92,132.880,1467,140.4114,227,110.8291
93,130.728,4490,139.8797,360,111.3608
94,128.576,2774,139.3291,102,111.8924
95,126.424,1698,139.3291,190,112.4430
96,124.810,3445,138.7975,7,114.0570
97,122.120,,,,
98,119.968,,,,
99,117.278,,,,
100,114.589,,,,
101,112.437,,,,
102,111.892,,,,
103,114.051,,,,
104,118.354,,,,
105,124.272,,,,
106,129.652,,,,
107,133.418,,,,
108,135.570,,,,
109,137.184,,,,
110,138.797,,,,
111,140.411,,,,
112,142.025,,,,
113,143.108,,,,
114,144.171,,,,
115,144.722,,,,
116,145.253,,,,
117,145.785,,,,
118,146.335,,,,
119,146.867,,,,
120,146.867,,,,
121,146.867,,,,
122,146.335,,,,
123,145.785,,,,
124,144.722,,,,
125,144.171,,,,
126,143.108,,,,
127,142.025,,,,
128,140.411,,,,
129,139.329,,,,
130,138.266,,,,
131,137.184,,,,
132,136.101,,,,
133,135.038,,,,
134,133.956,,,,
135,132.342,,,,
136,130.728,,,,
137,128.576,,,,
138,126.424,,,,
139,124.272,,,,
140,122.658,,,,
141,120.506,,,,
142,117.816,,,,
143,114.589,,,,
144,111.899,,,,
145,110.278,,,,
146,110.823,,,,
147,113.513,,,,
148,118.892,,,,
149,124.810,,,,
150,130.190,,,,
151,133.418,,,,
152,135.570,,,,
153,137.184,,,,
154,138.797,,,,
155,140.411,,,,
156,142.025,,,,
157,143.639,,,,
158,145.253,,,,
159,146.335,,,,
160,146.867,,,,
161,146.867,,,,
162,146.867,,,,
163,146.867,,,,
164,146.335,,,,
165,145.785,,,,
166,144.722,,,,
167,144.171,,,,
168,143.108,,,,
169,142.025,,,,
170,140.943,,,,
171,140.411,,,,
172,139.880,,,,
173,139.329,,,,
174,138.797,,,,
175,138.266,,,,
176,137.715,,,,
177,136.652,,,,
178,136.101,,,,
179,135.038,,,,
180,133.956,,,,
181,132.342,,,,
182,130.190,,,,
183,128.576,,,,
184,126.424,,,,
185,124.810,,,,
186,122.120,,,,
187,119.968,,,,
188,116.741,,,,
189,114.051,,,,
190,112.443,,,,
191,112.975,,,,
192,115.665,,,,
193,119.968,,,,
194,125.348,,,,
195,130.190,,,,
196,133.418,,,,
197,135.570,,,,
198,137.184,,,,
199,138.797,,,,
200,140.411,,,,
201,141.494,,,,
202,142.557,,,,
203,143.108,,,,
204,143.639,,,,
205,143.108,,,,
206,142.025,,,,
207,140.943,,,,
208,140.411,,,,
209,139.880,,,,
210,139.329,,,,
211,138.266,,,,
212,137.715,,,,
213,136.652,,,,
214,136.101,,,,
215,135.038,,,,
216,133.956,,,,
217,132.342,,,,
218,130.190,,,,
219,128.038,,,,
220,125.886,,,,
221,124.272,,,,
222,122.658,,,,
223,119.968,,,,
224,116.741,,,,
225,113.513,,,,
226,111.361,,,,
227,110.829,,,,
228,112.437,,,,
229,117.278,,,,
230,123.196,,,,
231,129.114,,,,
232,132.880,,,,
233,135.570,,,,
234,137.722,,,,
235,139.873,,,,
236,141.494,,,,
237,142.557,,,,
238,143.108,,,,
239,143.639,,,,
240,143.108,,,,
241,142.557,,,,
242,142.025,,,,
243,142.025,,,,
244,141.494,,,,
245,140.943,,,,
246,139.880,,,,
247,139.329,,,,
248,138.797,,,,
249,138.797,,,,
250,138.266,,,,
251,137.715,,,,
252,136.652,,,,
253,135.570,,,,
254,133.956,,,,
255,132.873,,,,
256,131.266,,,,
257,129.652,,,,
258,127.500,,,,
259,125.348,,,,
260,123.196,,,,
261,121.576,,,,
262,119.430,,,,
263,116.741,,,,
264,113.513,,,,
265,111.361,,,,
266,110.829,,,,
267,111.899,,,,
268,116.203,,,,
269,122.120,,,,
270,128.576,,,,
271,132.880,,,,
272,135.570,,,,
273,137.722,,,,
274,139.873,,,,
275,142.025,,,,
276,143.639,,,,
277,144.722,,,,
278,145.785,,,,
279,146.335,,,,
280,146.867,,,,
281,146.335,,,,
282,145.253,,,,
283,143.639,,,,
284,142.557,,,,
285,142.025,,,,
286,141.494,,,,
287,140.943,,,,
288,139.880,,,,
289,139.329,,,,
290,138.797,,,,
291,138.797,,,,
292,138.266,,,,
293,137.715,,,,
294,136.652,,,,
295,136.101,,,,
296,135.038,,,,
297,133.956,,,,
298,132.342,,,,
299,130.728,,,,
300,128.576,,,,
301,126.424,,,,
302,124.272,,,,
303,122.658,,,,
304,120.506,,,,
305,118.354,,,,
306,115.127,,,,
307,112.437,,,,
308,110.278,,,,
309,110.278,,,,
310,112.975,,,,
311,117.816,,,,
312,124.272,,,,
313,129.652,,,,
314,133.956,,,,
315,136.646,,,,
316,138.797,,,,
317,140.411,,,,
318,142.025,,,,
